element,sp_num,obs_wl_air(nm),Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,
Al,2,"=""781.231""","=""1.55e+06""","=""4.25e-02""","=""1.09e+00""","=""-1.372""",C,"=""125703.14""","=""138499.89""","=""3s.5p""","=""3P*""","=""0""","=""3s.7s""","=""3S""","=""1""",1,3,,
Al,2,"=""781.583""","=""4.64e+06""","=""4.25e-02""","=""3.28e+00""","=""-0.894""",C+,"=""125708.828""","=""138499.89""","=""3s.5p""","=""3P*""","=""1""","=""3s.7s""","=""3S""","=""1""",3,3,,
Al,2,"=""782.372""","=""7.70e+06""","=""4.24e-02""","=""5.46e+00""","=""-0.674""",C+,"=""125721.703""","=""138499.89""","=""3s.5p""","=""3P*""","=""2""","=""3s.7s""","=""3S""","=""1""",5,3,,
Al,1,"=""783.5309""","=""3.71e+06""","=""5.12e-02""","=""5.28e+00""","=""-0.689""",B,"=""32435.453""","=""45194.681""","=""3s2.3d""","=""2D""","=""3/2""","=""3s2.6f""","=""2F*""","=""5/2""",4,6,,
Al,1,"=""783.6134""","=""2.65e+05""","=""2.44e-03""","=""3.78e-01""","=""-1.834""",C+,"=""32436.796""","=""45194.681""","=""3s2.3d""","=""2D""","=""5/2""","=""3s2.6f""","=""2F*""","=""5/2""",6,6,,
Al,1,"=""783.6134""","=""3.97e+06""","=""4.87e-02""","=""7.54e+00""","=""-0.534""",B+,"=""32436.796""","=""45194.681""","=""3s2.3d""","=""2D""","=""5/2""","=""3s2.6f""","=""2F*""","=""7/2""",6,8,,
Al,1,"=""806.5968""","=""4.42e+05""","=""8.63e-03""","=""4.58e-01""","=""-1.763""",C+,"=""32949.807""","=""45344.165""","=""3s2.4p""","=""2P*""","=""1/2""","=""3s2.6d""","=""2D""","=""3/2""",2,4,,
Al,1,"=""807.5353""","=""5.28e+05""","=""7.75e-03""","=""8.24e-01""","=""-1.509""",C+,"=""32965.639""","=""45345.594""","=""3s2.4p""","=""2P*""","=""3/2""","=""3s2.6d""","=""2D""","=""5/2""",4,6,,
Al,1,"=""807.6289""","=""8.81e+04""","=""8.62e-04""","=""9.17e-02""","=""-2.462""",C,"=""32965.639""","=""45344.165""","=""3s2.4p""","=""2P*""","=""3/2""","=""3s2.6d""","=""2D""","=""3/2""",4,4,,
Al,2,"=""808.691""","=""2.02e+06""","=""2.77e-02""","=""3.69e+00""","=""-0.859""",C,"=""133916.368""","=""146278.70""","=""3s.5d""","=""1D""","=""2""","=""3s.9f""","=""1F*""","=""3""",5,7,,
Al,2,"=""811.972""","=""2.91e+06""","=""3.70e-02""","=""6.93e+00""","=""-0.587""",C+,"=""132822.89""","=""145135.31""","=""3s.5d""","=""3D""","=""3""","=""3s.8f""","=""3F*""","=""4""",7,9,,
Al,2,"=""812.203""","=""2.58e+06""","=""3.58e-02""","=""4.79e+00""","=""-0.747""",C+,"=""132822.80""","=""145131.93""","=""3s.5d""","=""3D""","=""2""","=""3s.8f""","=""3F*""","=""3""",5,7,,
Al,2,"=""812.352""","=""4.54e+05""","=""4.49e-03""","=""6.01e-01""","=""-1.649""",C,"=""132822.80""","=""145129.51""","=""3s.5d""","=""3D""","=""2""","=""3s.8f""","=""3F*""","=""2""",5,5,,
Al,2,"=""812.352""","=""1.28e+04""","=""9.05e-05""","=""1.69e-02""","=""-3.198""",E,"=""132822.89""","=""145129.51""","=""3s.5d""","=""3D""","=""3""","=""3s.8f""","=""3F*""","=""2""",7,5,,
Al,2,"=""812.352""","=""2.44e+06""","=""4.03e-02""","=""3.23e+00""","=""-0.918""",C+,"=""132822.95""","=""145129.51""","=""3s.5d""","=""3D""","=""1""","=""3s.8f""","=""3F*""","=""2""",3,5,,
Al,2,"=""835.4318""","=""4.27e+07""","=""5.75e-01""","=""1.11e+02""","=""0.605""",A,"=""121483.50""","=""133450.07""","=""3s.4d""","=""3D""","=""3""","=""3s.5f""","=""3F*""","=""4""",7,9,,
Al,2,"=""835.923""","=""4.75e+06""","=""4.98e-02""","=""9.60e+00""","=""-0.458""",B+,"=""121483.50""","=""133443.08""","=""3s.4d""","=""3D""","=""3""","=""3s.5f""","=""3F*""","=""3""",7,7,,
Al,2,"=""835.9492""","=""3.79e+07""","=""5.56e-01""","=""7.65e+01""","=""0.444""",A,"=""121483.92""","=""133443.08""","=""3s.4d""","=""3D""","=""2""","=""3s.5f""","=""3F*""","=""3""",5,7,,
Al,2,"=""836.3251""","=""6.64e+06""","=""6.97e-02""","=""9.60e+00""","=""-0.458""",B+,"=""121483.92""","=""133437.71""","=""3s.4d""","=""3D""","=""2""","=""3s.5f""","=""3F*""","=""2""",5,5,,
Al,2,"=""836.3469""","=""3.58e+07""","=""6.26e-01""","=""5.17e+01""","=""0.274""",A,"=""121484.252""","=""133437.71""","=""3s.4d""","=""3D""","=""1""","=""3s.5f""","=""3F*""","=""2""",3,5,,
Al,2,"=""864.0705""","=""3.00e+07""","=""1.01e+00""","=""2.87e+01""","=""0.004""",A+,"=""95350.60""","=""106920.56""","=""3s.4s""","=""1S""","=""0""","=""3s.4p""","=""1P*""","=""1""",1,3,,
Al,2,"=""867.121""","=""5.52e+06""","=""8.72e-02""","=""1.24e+01""","=""-0.361""",C+,"=""133437.71""","=""144967.1""","=""3s.5f""","=""3F*""","=""2""","=""3s.8g""","=""3G""","=""3""",5,7,,
Al,1,"=""877.2866""","=""6.47e+06""","=""1.12e-01""","=""1.29e+01""","=""-0.349""",B+,"=""32435.453""","=""43831.101""","=""3s2.3d""","=""2D""","=""3/2""","=""3s2.5f""","=""2F*""","=""5/2""",4,6,,
Al,1,"=""877.3896""","=""6.95e+06""","=""1.07e-01""","=""1.85e+01""","=""-0.192""",B+,"=""32436.796""","=""43831.105""","=""3s2.3d""","=""2D""","=""5/2""","=""3s2.5f""","=""2F*""","=""7/2""",6,8,,
Al,1,"=""877.3896""","=""4.62e+05""","=""5.33e-03""","=""9.24e-01""","=""-1.495""",C+,"=""32436.796""","=""43831.101""","=""3s2.3d""","=""2D""","=""5/2""","=""3s2.5f""","=""2F*""","=""5/2""",6,6,,
Al,1,"=""882.8909""","=""6.72e+05""","=""7.86e-03""","=""4.57e-01""","=""-1.804""",C,"=""32949.807""","=""44273.133""","=""3s2.4p""","=""2P*""","=""1/2""","=""3s2.7s""","=""2S""","=""1/2""",2,2,,
Al,1,"=""884.1277""","=""1.34e+06""","=""7.85e-03""","=""9.14e-01""","=""-1.503""",C,"=""32965.639""","=""44273.133""","=""3s2.4p""","=""2P*""","=""3/2""","=""3s2.7s""","=""2S""","=""1/2""",4,2,,
Al,1,"=""891.2900""","=""2.28e+05""","=""5.44e-03""","=""3.19e-01""","=""-1.963""",C+,"=""32949.807""","=""44166.398""","=""3s2.4p""","=""2P*""","=""1/2""","=""3s2.5d""","=""2D""","=""3/2""",2,4,,
Al,1,"=""892.3555""","=""2.73e+05""","=""4.89e-03""","=""5.75e-01""","=""-1.709""",C+,"=""32965.639""","=""44168.847""","=""3s2.4p""","=""2P*""","=""3/2""","=""3s2.5d""","=""2D""","=""5/2""",4,6,,
Al,1,"=""892.5504""","=""4.54e+04""","=""5.43e-04""","=""6.38e-02""","=""-2.663""",C,"=""32965.639""","=""44166.398""","=""3s2.4p""","=""2P*""","=""3/2""","=""3s2.5d""","=""2D""","=""3/2""",4,4,,
