# Experimental LIBS spectrum: Na I D doublet (D2 588.995 nm, D1 589.592 nm)
# Source: P. B. Hansen, PhD thesis "Laser-Induced Breakdown Spectroscopy
#   Under Martian Conditions" (docs/Literature/hansen_peder-LIBS_martian_conditions.pdf),
#   Figure 4.4.5 (thesis p. 78 / PDF p. 92), bottom-left panel.
# Sample: pressed pellet of mixed carbonates CaCO3+MgCO3+MnCO3+Na2CO3
#   (Na 12.68 at%), in experimentally simulated Martian atmosphere
#   (0.7 kPa, mainly CO2; thesis p. 20).
# Acquisition: delay time 500 ns, integration (gate) time 50 ns, 35 mJ
#   on sample, 10 Hz, 30 accumulated shots; LTB Aryelle Butterfly
#   echelle + Andor iStar ICCD; entrance slit 50x50 um2; intensity-
#   calibrated (signal prop. photons/nm); FWHM_instr = 0.065 nm at
#   656.3 nm (thesis Sec. 4.4.2).
# Plasma parameters measured in the same work at 500 ns delay:
#   n_e = 7e22 m^-3 (H-alpha Stark broadening, thesis Fig. 4.4.4)
#   T = (12822 +/- 292) K (multi-element Saha-Boltzmann, Fig. 4.4.6a)
#   plasma extent ~4 mm total (thesis Sec. 4.4.3).
# Extraction: see examples/digitize_hansen_naD.py (method in its
#   docstring). 569 of 1474 columns had the dashed
#   Voigt-fit overlay contributing to the stroke span (flag column).
#   1474 points, 586.772-592.921 nm, ~4.2 pm/point.
# columns: wavelength_nm,intensity,fit_overlay_contributed
589.81101,16.085,1
589.81518,14.975,1
589.81936,15.530,1
589.82353,14.975,1
589.82771,15.530,1
589.83188,15.530,1
589.83606,15.530,1
589.84023,15.530,1
589.84441,15.530,1
589.84858,15.530,1
589.85276,14.421,1
589.85693,13.866,1
589.86110,12.757,1
589.86528,12.202,1
589.86945,10.538,1
589.87363,9.429,1
589.87780,8.874,1
589.88198,8.320,1
589.88615,8.320,1
589.89033,8.320,1
589.89450,7.765,1
589.89868,7.765,1
589.90285,8.320,1
589.90703,8.874,1
589.91120,8.320,1
589.91537,8.874,1
589.91955,9.429,1
589.92372,9.984,1
589.92790,9.984,1
589.93207,10.538,1
589.93625,12.757,1
589.94042,12.202,0
589.94460,12.202,0
589.94877,11.093,0
589.95295,11.093,0
589.95712,9.984,0
589.96130,9.429,0
589.96547,9.429,0
589.96964,8.874,0
589.97382,8.874,0
589.97799,8.874,0
589.98217,8.320,0
589.98634,7.765,0
589.99052,7.211,0
589.99469,6.656,0
589.99887,5.547,0
590.00304,5.547,0
590.00722,4.992,1
590.01139,5.547,1
590.01557,5.547,1
590.01974,6.101,1
590.02391,6.656,1
590.02809,7.211,1
590.03226,7.211,1
590.03644,7.211,1
590.04061,6.656,1
590.04479,6.101,1
590.04896,5.547,1
590.05314,5.547,1
590.05731,4.992,1
590.06149,4.992,1
590.06566,4.437,1
590.06984,3.883,1
590.07401,3.883,1
590.07818,3.883,1
590.08236,3.883,1
590.08653,3.883,1
590.09071,4.992,1
590.09488,4.992,1
590.09906,4.992,1
590.10323,4.992,1
590.10741,4.992,1
590.11158,4.992,1
590.11576,4.992,1
590.11993,4.437,1
590.12411,4.437,1
590.12828,4.437,1
590.13245,4.437,1
590.13663,3.883,1
590.14080,3.883,1
590.14498,3.883,1
590.14915,3.883,1
590.15333,3.883,1
590.15750,3.883,1
590.16168,3.883,1
590.16585,3.883,1
590.17003,4.437,0
590.17420,4.437,0
590.17838,4.437,0
590.18255,4.437,0
590.18672,4.437,0
590.19090,4.437,0
590.19507,4.437,0
590.19925,4.437,0
590.20342,4.437,0
590.20760,4.437,0
590.21177,3.328,0
590.21595,3.328,0
590.22012,3.328,0
590.22430,3.328,0
590.22847,2.774,0
590.23265,2.219,0
590.23682,2.219,1
590.24099,2.219,1
590.24517,2.219,1
590.24934,3.328,1
590.25352,3.328,1
590.25769,3.328,1
590.26187,2.774,1
590.26604,3.328,1
590.27022,3.328,1
590.27439,3.328,1
590.27857,3.328,1
590.28274,3.328,1
590.28692,3.328,1
590.29109,2.774,1
590.29526,2.774,1
590.29944,2.774,1
590.30361,2.774,1
590.30779,2.774,1
590.31196,2.774,1
590.31614,2.219,1
590.32031,1.664,1
590.32449,1.664,1
590.32866,1.110,1
590.33284,1.110,1
590.33701,1.110,1
590.34119,1.110,1
590.34536,1.110,1
590.34953,1.664,1
590.35371,2.219,1
590.35788,2.219,1
590.36206,2.774,1
590.36623,2.774,1
590.37041,2.774,1
590.37458,3.328,1
590.37876,3.328,1
590.38293,3.328,1
590.38711,3.328,1
590.39128,3.328,1
590.39546,2.219,1
590.39963,2.774,0
590.40380,2.219,0
590.40798,2.219,0
590.41215,2.219,0
590.41633,2.219,0
590.42050,2.219,0
590.42468,1.664,0
590.42885,1.664,0
590.43303,1.110,0
590.43720,0.000,0
590.44138,-0.554,0
590.44555,-1.109,0
590.44973,-1.664,0
590.45390,-2.218,0
590.45807,-1.109,0
590.46225,-0.554,0
590.46642,0.555,0
590.47060,0.555,1
590.47477,1.664,1
590.47895,2.219,1
590.48312,2.774,1
590.48730,2.219,1
590.49147,2.219,1
590.49565,2.219,1
590.49982,2.219,1
590.50400,2.219,1
590.50817,1.664,1
590.51234,1.664,1
590.51652,1.664,1
590.52069,1.664,1
590.52487,1.664,1
590.52904,1.664,1
590.53322,1.110,1
590.53739,1.110,1
590.54157,1.110,1
590.54574,1.110,1
590.54992,1.110,1
590.55409,1.110,1
590.55827,1.110,1
590.56244,2.219,1
590.56661,2.219,1
590.57079,2.774,1
590.57496,2.774,1
590.57914,2.774,1
590.58331,2.774,1
590.58749,2.774,1
590.59166,2.774,1
590.59584,2.219,1
590.60001,2.219,1
590.60419,1.110,1
590.60836,1.110,1
590.61254,1.110,1
590.61671,0.555,1
590.62088,0.555,1
590.62506,0.555,1
590.62923,-1.109,0
590.63341,-1.109,0
590.63758,-1.109,0
590.64176,-1.109,0
590.64593,-0.554,0
590.65011,0.000,0
590.65428,0.000,0
590.65846,0.555,0
590.66263,0.555,0
590.66681,1.110,0
590.67098,2.219,0
590.67515,2.219,0
590.67933,3.328,0
590.68350,3.328,0
590.68768,3.883,0
590.69185,3.328,0
590.69603,2.774,0
590.70020,2.219,1
590.70438,1.110,1
590.70855,1.110,1
590.71273,1.110,1
590.71690,1.110,1
590.72108,1.110,1
590.72525,1.664,1
